1 100
228
100 27 25
200 1 5 0
200 2 21 0
400 0 3 3
200 1 9 0
200 2 18 6
200 1 11 5
200 2 5 0
200 1 22 0
200 2 16 0
200 1 2 6
200 2 6 0
200 1 2 0
200 2 15 0
200 1 0 5
200 2 24 0
200 1 12 0
200 2 5 0
200 1 13 0
200 2 12 0
200 1 13 0
200 2 15 0
200 1 1 0
200 2 11 0
200 1 1 0
200 2 16 0
200 1 23 0
200 2 2 5
200 1 21 0
200 2 18 12
200 1 9 0
200 2 6 0
200 1 14 0
200 2 23 0
300 1 12 7
200 2 0 0
200 1 21 0
200 2 24 0
200 1 20 10
200 2 0 0
200 1 5 0
200 2 10 0
400 1 21 35
200 1 8 0
200 2 24 0
200 1 22 0
200 2 9 0
200 1 19 9
200 2 9 0
200 1 8 0
300 2 19 0
200 1 16 0
200 2 18 5
200 1 7 0
200 2 12 0
200 1 18 0
300 2 26 0
200 1 6 5
200 2 9 0
300 1 3 0
200 2 2 5
200 1 3 5
200 2 15 0
200 1 16 0
300 2 14 15
200 1 15 0
200 2 13 0
200 1 12 0
200 2 17 0
200 1 1 0
200 2 4 0
200 1 1 0
200 2 7 0
200 1 8 0
200 2 22 5
200 1 9 0
200 2 13 0
200 1 19 0
200 2 9 0
300 1 13 19
200 2 24 5
300 1 19 7
400 1 30 40
200 2 22 0
300 1 4 5
200 2 17 0
200 1 3 6
200 2 23 5
200 1 23 0
400 1 26 43
200 2 21 0
200 1 12 0
200 2 11 0
300 1 13 0
200 2 2 5
200 1 0 0
200 2 0 0
200 1 2 0
200 2 9 0
200 1 11 0
200 2 24 5
200 1 20 0
200 2 19 0
200 1 14 7
200 2 2 0
200 1 7 0
200 2 22 0
200 1 12 0
200 2 11 0
200 1 8 0
200 2 18 6
200 1 11 0
200 2 24 0
200 1 21 0
200 2 5 5
300 1 24 0
200 2 20 0
200 1 5 0
200 2 18 5
200 1 11 0
300 2 6 0
200 1 21 0
400 1 55 59
200 2 19 5
200 1 14 0
200 2 0 0
200 1 20 5
200 2 7 0
200 1 9 0
200 2 5 0
200 1 12 10
200 2 4 5
200 1 4 0
200 2 24 5
200 1 0 0
200 2 1 0
200 1 11 0
200 2 10 0
300 1 13 0
200 2 12 5
200 1 19 5
200 2 21 5
200 1 7 0
200 2 18 0
200 1 24 0
200 2 21 0
200 1 17 5
200 2 1 0
200 1 24 0
200 2 10 0
200 1 16 0
200 2 16 5
200 1 21 0
400 1 67 74
200 2 1 0
200 1 3 6
200 2 8 0
200 1 5 5
200 2 19 0
200 1 12 0
200 2 9 5
200 1 5 0
400 1 68 81
200 2 18 5
200 1 11 0
200 2 16 0
200 1 13 10
200 2 6 0
200 1 12 0
200 2 20 5
200 1 1 0
300 2 13 21
200 1 14 5
200 2 4 0
200 1 19 11
300 2 26 6
200 1 19 0
200 2 11 0
200 1 13 6
200 2 1 0
200 1 4 0
200 2 10 5
200 1 19 0
200 2 14 0
300 1 22 6
200 2 22 0
200 1 16 0
200 2 15 5
200 1 12 0
200 2 12 0
200 1 19 0
200 2 8 0
200 1 12 0
200 2 8 0
200 1 10 0
200 2 8 5
200 1 20 5
200 2 7 0
200 1 20 5
200 2 0 0
200 1 5 0
200 2 6 5
200 1 9 5
200 2 15 0
300 1 6 34
200 2 5 0
300 1 2 6
200 2 19 0
200 1 10 0
200 2 14 0
200 1 15 0
200 2 18 0
200 1 12 0
400 1 61 63
200 2 22 0
200 1 9 0
200 2 11 0
200 1 11 10
200 2 19 5
400 1 57 57
200 1 1 0
200 2 14 0
200 1 24 0
200 2 5 0
200 1 15 0
200 2 7 0
200 1 6 0
400 1 69 66
